dataset,approach,spars_label,round,accuracy_reached,bytes_size,bytes_communicated
CIFAR-10,Random,1%,1,10,37704.0,37704.0
CIFAR-10,Random,1%,121,20,37704.0,4562184.0
CIFAR-10,Random,10%,1,10,377064.0,377064.0
CIFAR-10,Random,10%,26,20,377064.0,9803664.0
CIFAR-10,Random,10%,49,30,377064.0,18476136.0
CIFAR-10,Random,10%,73,40,377064.0,27525672.0
CIFAR-10,Random,10%,115,50,377064.0,43362360.0
CIFAR-10,Random,100%,1,10,3770704.0,3770704.0
CIFAR-10,Random,100%,23,20,3770704.0,86726192.0
CIFAR-10,Random,100%,41,30,3770704.0,154598864.0
CIFAR-10,Random,100%,64,40,3770704.0,241325056.0
CIFAR-10,Random,100%,105,50,3770704.0,395923920.0
CIFAR-10,Random,3%,2,10,113120.0,226240.0
CIFAR-10,Random,3%,49,20,113120.0,5542880.0
CIFAR-10,Random,3%,94,30,113120.0,10633280.0
CIFAR-10,Random,3%,138,40,113120.0,15610560.0
CIFAR-10,Random,30%,1,10,1131208.0,1131208.0
CIFAR-10,Random,30%,21,20,1131208.0,23755368.0
CIFAR-10,Random,30%,40,30,1131208.0,45248320.0
CIFAR-10,Random,30%,64,40,1131208.0,72397312.0
CIFAR-10,Random,30%,102,50,1131208.0,115383216.0
CIFAR-10,Random,5%,1,10,188528.0,188528.0
CIFAR-10,Random,5%,31,20,188528.0,5844368.0
CIFAR-10,Random,5%,56,30,188528.0,10557568.0
CIFAR-10,Random,5%,89,40,188528.0,16778992.0
CIFAR-10,Random,5%,157,50,188528.0,29598896.0
CIFAR-10,Random,50%,1,10,1885352.0,1885352.0
CIFAR-10,Random,50%,24,20,1885352.0,45248448.0
CIFAR-10,Random,50%,42,30,1885352.0,79184784.0
CIFAR-10,Random,50%,64,40,1885352.0,120662528.0
CIFAR-10,Random,50%,106,50,1885352.0,199847312.0
CIFAR-10,Threshold,0 (100%),1,10,3770704.0,3770704.0
CIFAR-10,Threshold,0 (100%),23,20,3770704.0,86726192.0
CIFAR-10,Threshold,0 (100%),41,30,3770704.0,154598864.0
CIFAR-10,Threshold,0 (100%),64,40,3770704.0,241325056.0
CIFAR-10,Threshold,0 (100%),105,50,3770704.0,395923920.0
CIFAR-10,Threshold,0.001 (~24.5%),2,10,924407.36,1848814.72
