num_params,threshold,keep_first_last,dataset,Size (bytes)
1452,0.01,True,FEMNIST,11616
1406,0.01,True,FEMNIST,11248
1973,0.01,True,FEMNIST,15784
1427,0.01,True,FEMNIST,11416
1430,0.01,True,FEMNIST,11440
1333,0.01,True,FEMNIST,10664
1428,0.01,True,FEMNIST,11424
1456,0.01,True,FEMNIST,11648
1297,0.01,True,FEMNIST,10376
1433,0.01,True,FEMNIST,11464
2050,0.01,True,FEMNIST,16400
2054,0.01,True,FEMNIST,16432
1778,0.01,True,FEMNIST,14224
1926,0.01,True,FEMNIST,15408
1781,0.01,True,FEMNIST,14248
1836,0.01,True,FEMNIST,14688
1704,0.01,True,FEMNIST,13632
1806,0.01,True,FEMNIST,14448
1800,0.01,True,FEMNIST,14400
1929,0.01,True,FEMNIST,15432
1777,0.01,True,FEMNIST,14216
1726,0.01,True,FEMNIST,13808
1933,0.01,True,FEMNIST,15464
1796,0.01,True,FEMNIST,14368
1772,0.01,True,FEMNIST,14176
1858,0.01,True,FEMNIST,14864
1860,0.01,True,FEMNIST,14880
1819,0.01,True,FEMNIST,14552
1865,0.01,True,FEMNIST,14920
1792,0.01,True,FEMNIST,14336
1877,0.01,True,FEMNIST,15016
1864,0.01,True,FEMNIST,14912
1778,0.01,True,FEMNIST,14224
1866,0.01,True,FEMNIST,14928
1799,0.01,True,FEMNIST,14392
1764,0.01,True,FEMNIST,14112
1841,0.01,True,FEMNIST,14728
1822,0.01,True,FEMNIST,14576
1816,0.01,True,FEMNIST,14528
1792,0.01,True,FEMNIST,14336
1802,0.01,True,FEMNIST,14416
1862,0.01,True,FEMNIST,14896
1873,0.01,True,FEMNIST,14984
1859,0.01,True,FEMNIST,14872
1818,0.01,True,FEMNIST,14544
1899,0.01,True,FEMNIST,15192
1817,0.01,True,FEMNIST,14536
1859,0.01,True,FEMNIST,14872
1750,0.01,True,FEMNIST,14000
1737,0.01,True,FEMNIST,13896
1762,0.01,True,FEMNIST,14096
1771,0.01,True,FEMNIST,14168
1778,0.01,True,FEMNIST,14224
1771,0.01,True,FEMNIST,14168
1782,0.01,True,FEMNIST,14256
1896,0.01,True,FEMNIST,15168
1784,0.01,True,FEMNIST,14272
1709,0.01,True,FEMNIST,13672
1731,0.01,True,FEMNIST,13848
1840,0.01,True,FEMNIST,14720
1764,0.01,True,FEMNIST,14112
1818,0.01,True,FEMNIST,14544
1781,0.01,True,FEMNIST,14248
1717,0.01,True,FEMNIST,13736
1738,0.01,True,FEMNIST,13904
1723,0.01,True,FEMNIST,13784
1768,0.01,True,FEMNIST,14144
1747,0.01,True,FEMNIST,13976
1720,0.01,True,FEMNIST,13760
1712,0.01,True,FEMNIST,13696
1716,0.01,True,FEMNIST,13728
1770,0.01,True,FEMNIST,14160
1720,0.01,True,FEMNIST,13760
1675,0.01,True,FEMNIST,13400
1800,0.01,True,FEMNIST,14400
1721,0.01,True,FEMNIST,13768
1877,0.01,True,FEMNIST,15016
1768,0.01,True,FEMNIST,14144
1725,0.01,True,FEMNIST,13800
1761,0.01,True,FEMNIST,14088
1798,0.01,True,FEMNIST,14384
1784,0.01,True,FEMNIST,14272
1768,0.01,True,FEMNIST,14144
1902,0.01,True,FEMNIST,15216
1714,0.01,True,FEMNIST,13712
1742,0.01,True,FEMNIST,13936
1762,0.01,True,FEMNIST,14096
1699,0.01,True,FEMNIST,13592
1809,0.01,True,FEMNIST,14472
1825,0.01,True,FEMNIST,14600
1810,0.01,True,FEMNIST,14480
1840,0.01,True,FEMNIST,14720
1848,0.01,True,FEMNIST,14784
1747,0.01,True,FEMNIST,13976
1758,0.01,True,FEMNIST,14064
1825,0.01,True,FEMNIST,14600
1788,0.01,True,FEMNIST,14304
1779,0.01,True,FEMNIST,14232
1767,0.01,True,FEMNIST,14136
1766,0.01,True,FEMNIST,14128
1740,0.01,True,FEMNIST,13920
1926,0.01,True,FEMNIST,15408
1732,0.01,True,FEMNIST,13856
1738,0.01,True,FEMNIST,13904
1774,0.01,True,FEMNIST,14192
1751,0.01,True,FEMNIST,14008
1739,0.01,True,FEMNIST,13912
1783,0.01,True,FEMNIST,14264
1753,0.01,True,FEMNIST,14024
1755,0.01,True,FEMNIST,14040
1795,0.01,True,FEMNIST,14360
1931,0.01,True,FEMNIST,15448
1780,0.01,True,FEMNIST,14240
1888,0.01,True,FEMNIST,15104
1713,0.01,True,FEMNIST,13704
1659,0.01,True,FEMNIST,13272
1737,0.01,True,FEMNIST,13896
1670,0.01,True,FEMNIST,13360
1741,0.01,True,FEMNIST,13928
1848,0.01,True,FEMNIST,14784
1820,0.01,True,FEMNIST,14560
1734,0.01,True,FEMNIST,13872
1831,0.01,True,FEMNIST,14648
1824,0.01,True,FEMNIST,14592
1751,0.01,True,FEMNIST,14008
1911,0.01,True,FEMNIST,15288
1778,0.01,True,FEMNIST,14224
1755,0.01,True,FEMNIST,14040
1791,0.01,True,FEMNIST,14328
1754,0.01,True,FEMNIST,14032
1818,0.01,True,FEMNIST,14544
1734,0.01,True,FEMNIST,13872
1875,0.01,True,FEMNIST,15000
1753,0.01,True,FEMNIST,14024
1829,0.01,True,FEMNIST,14632
1792,0.01,True,FEMNIST,14336
1756,0.01,True,FEMNIST,14048
1751,0.01,True,FEMNIST,14008
1812,0.01,True,FEMNIST,14496
1823,0.01,True,FEMNIST,14584
1795,0.01,True,FEMNIST,14360
1919,0.01,True,FEMNIST,15352
1761,0.01,True,FEMNIST,14088
1799,0.01,True,FEMNIST,14392
1711,0.01,True,FEMNIST,13688
1806,0.01,True,FEMNIST,14448
1755,0.01,True,FEMNIST,14040
1731,0.01,True,FEMNIST,13848
1754,0.01,True,FEMNIST,14032
1739,0.01,True,FEMNIST,13912
1891,0.01,True,FEMNIST,15128
1698,0.01,True,FEMNIST,13584
1714,0.01,True,FEMNIST,13712
1744,0.01,True,FEMNIST,13952
1886,0.01,True,FEMNIST,15088
1694,0.01,True,FEMNIST,13552
2017,0.01,True,FEMNIST,16136
1791,0.01,True,FEMNIST,14328
1699,0.01,True,FEMNIST,13592
1822,0.01,True,FEMNIST,14576
1737,0.01,True,FEMNIST,13896
1773,0.01,True,FEMNIST,14184
1744,0.01,True,FEMNIST,13952
1667,0.01,True,FEMNIST,13336
1774,0.01,True,FEMNIST,14192
1940,0.01,True,FEMNIST,15520
1755,0.01,True,FEMNIST,14040
1749,0.01,True,FEMNIST,13992
1691,0.01,True,FEMNIST,13528
1744,0.01,True,FEMNIST,13952
1754,0.01,True,FEMNIST,14032
1718,0.01,True,FEMNIST,13744
1713,0.01,True,FEMNIST,13704
1917,0.01,True,FEMNIST,15336
1788,0.01,True,FEMNIST,14304
1720,0.01,True,FEMNIST,13760
1758,0.01,True,FEMNIST,14064
1895,0.01,True,FEMNIST,15160
1795,0.01,True,FEMNIST,14360
1681,0.01,True,FEMNIST,13448
1723,0.01,True,FEMNIST,13784
1892,0.01,True,FEMNIST,15136
1736,0.01,True,FEMNIST,13888
1680,0.01,True,FEMNIST,13440
1782,0.01,True,FEMNIST,14256
1904,0.01,True,FEMNIST,15232
1768,0.01,True,FEMNIST,14144
1694,0.01,True,FEMNIST,13552
1727,0.01,True,FEMNIST,13816
1683,0.01,True,FEMNIST,13464
1693,0.01,True,FEMNIST,13544
1723,0.01,True,FEMNIST,13784
1696,0.01,True,FEMNIST,13568
1782,0.01,True,FEMNIST,14256
1670,0.01,True,FEMNIST,13360
1716,0.01,True,FEMNIST,13728
1710,0.01,True,FEMNIST,13680
1828,0.01,True,FEMNIST,14624
1851,0.01,True,FEMNIST,14808
1922,0.01,True,FEMNIST,15376
1684,0.01,True,FEMNIST,13472
1706,0.01,True,FEMNIST,13648
1624,0.01,True,FEMNIST,12992
1740,0.01,True,FEMNIST,13920
1741,0.01,True,FEMNIST,13928
2004,0.01,True,FEMNIST,16032
1850,0.01,True,FEMNIST,14800
1620,0.01,True,FEMNIST,12960
1744,0.01,True,FEMNIST,13952
1734,0.01,True,FEMNIST,13872
1744,0.01,True,FEMNIST,13952
1676,0.01,True,FEMNIST,13408
1739,0.01,True,FEMNIST,13912
1723,0.01,True,FEMNIST,13784
1886,0.01,True,FEMNIST,15088
1648,0.01,True,FEMNIST,13184
1676,0.01,True,FEMNIST,13408
1714,0.01,True,FEMNIST,13712
1703,0.01,True,FEMNIST,13624
1838,0.01,True,FEMNIST,14704
1666,0.01,True,FEMNIST,13328
1896,0.01,True,FEMNIST,15168
1738,0.01,True,FEMNIST,13904
1694,0.01,True,FEMNIST,13552
1754,0.01,True,FEMNIST,14032
1696,0.01,True,FEMNIST,13568
1764,0.01,True,FEMNIST,14112
1720,0.01,True,FEMNIST,13760
1781,0.01,True,FEMNIST,14248
1770,0.01,True,FEMNIST,14160
1668,0.01,True,FEMNIST,13344
1749,0.01,True,FEMNIST,13992
1834,0.01,True,FEMNIST,14672
1760,0.01,True,FEMNIST,14080
1829,0.01,True,FEMNIST,14632
1762,0.01,True,FEMNIST,14096
1849,0.01,True,FEMNIST,14792
1781,0.01,True,FEMNIST,14248
1794,0.01,True,FEMNIST,14352
1779,0.01,True,FEMNIST,14232
1772,0.01,True,FEMNIST,14176
1796,0.01,True,FEMNIST,14368
1772,0.01,True,FEMNIST,14176
1776,0.01,True,FEMNIST,14208
1835,0.01,True,FEMNIST,14680
1797,0.01,True,FEMNIST,14376
1842,0.01,True,FEMNIST,14736
1769,0.01,True,FEMNIST,14152
1787,0.01,True,FEMNIST,14296
1840,0.01,True,FEMNIST,14720
1752,0.01,True,FEMNIST,14016
1758,0.01,True,FEMNIST,14064
1637,0.01,True,FEMNIST,13096
1651,0.01,True,FEMNIST,13208
1696,0.01,True,FEMNIST,13568
1728,0.01,True,FEMNIST,13824
1656,0.01,True,FEMNIST,13248
1639,0.01,True,FEMNIST,13112
1673,0.01,True,FEMNIST,13384
1642,0.01,True,FEMNIST,13136
1642,0.01,True,FEMNIST,13136
1636,0.01,True,FEMNIST,13088
1731,0.01,True,FEMNIST,13848
1620,0.01,True,FEMNIST,12960
1554,0.01,True,FEMNIST,12432
1618,0.01,True,FEMNIST,12944
1560,0.01,True,FEMNIST,12480
1574,0.01,True,FEMNIST,12592
1548,0.01,True,FEMNIST,12384
1569,0.01,True,FEMNIST,12552
1612,0.01,True,FEMNIST,12896
1565,0.01,True,FEMNIST,12520
1583,0.01,True,FEMNIST,12664
1543,0.01,True,FEMNIST,12344
1583,0.01,True,FEMNIST,12664
1539,0.01,True,FEMNIST,12312
1518,0.01,True,FEMNIST,12144
1551,0.01,True,FEMNIST,12408
1537,0.01,True,FEMNIST,12296
1502,0.01,True,FEMNIST,12016
1555,0.01,True,FEMNIST,12440
1462,0.01,True,FEMNIST,11696
1503,0.01,True,FEMNIST,12024
1476,0.01,True,FEMNIST,11808
1481,0.01,True,FEMNIST,11848
1516,0.01,True,FEMNIST,12128
1454,0.01,True,FEMNIST,11632
1483,0.01,True,FEMNIST,11864
1466,0.01,True,FEMNIST,11728
1502,0.01,True,FEMNIST,12016
1530,0.01,True,FEMNIST,12240
1513,0.01,True,FEMNIST,12104
1428,0.01,True,FEMNIST,11424
1486,0.01,True,FEMNIST,11888
1515,0.01,True,FEMNIST,12120
1417,0.01,True,FEMNIST,11336
1459,0.01,True,FEMNIST,11672
1498,0.01,True,FEMNIST,11984
1373,0.01,True,FEMNIST,10984
1494,0.01,True,FEMNIST,11952
1326,0.01,True,FEMNIST,10608
1432,0.01,True,FEMNIST,11456
1356,0.01,True,FEMNIST,10848
1425,0.01,True,FEMNIST,11400
1462,0.01,True,FEMNIST,11696
1326,0.01,True,FEMNIST,10608
1375,0.01,True,FEMNIST,11000
1367,0.01,True,FEMNIST,10936
1437,0.01,True,FEMNIST,11496
1435,0.01,True,FEMNIST,11480
1441,0.01,True,FEMNIST,11528
1409,0.01,True,FEMNIST,11272
1349,0.01,True,FEMNIST,10792
1299,0.01,True,FEMNIST,10392
1380,0.01,True,FEMNIST,11040
1413,0.01,True,FEMNIST,11304
1372,0.01,True,FEMNIST,10976
1364,0.01,True,FEMNIST,10912
1359,0.01,True,FEMNIST,10872
1406,0.01,True,FEMNIST,11248
1339,0.01,True,FEMNIST,10712
1269,0.01,True,FEMNIST,10152
1362,0.01,True,FEMNIST,10896
1389,0.01,True,FEMNIST,11112
1241,0.01,True,FEMNIST,9928
1322,0.01,True,FEMNIST,10576
1390,0.01,True,FEMNIST,11120
1410,0.01,True,FEMNIST,11280
1358,0.01,True,FEMNIST,10864
1278,0.01,True,FEMNIST,10224
1373,0.01,True,FEMNIST,10984
1292,0.01,True,FEMNIST,10336
